OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,REGION,OS_ID,GDB_GEOMATTR_DATA
87,Sherrin Woods I,City of Boston,LWCF/A97/WPA,6,Hyde Park,23.948824, ,Residential District,Urban Wilds,BCC,BPRD,X,X, , ,PARK_Maintenance_Ground Maintenance,1003,
88,Doyle Playground,Commonwealth of Massachusetts,A97,3,Hyde Park,0.94494899, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,INFO_Reallocation From Dept,3019,
89,West Street,City of Boston,A97,6,Hyde Park,2.5055118, ,Industrial District,Urban Wilds,BCC,BPRD,X,X, , ,PARK_Maintenance_Ground Maintenance,1004,
90,Dell Rock I,City of Boston,A97,6,Hyde Park,1.30443817, ,Residential District,Urban Wilds,BPRD,BPRD,X,X, ,BPRD,PARK_Maintenance_Ground Maintenance,084,
91,Amatucci Playground,City of Boston,A97,3,Hyde Park,0.46590072,Opposite 1661 Hyde Park Ave.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 4,007,
92,Moynihan Playground,Commonwealth of Massachusetts,A97,3,Hyde Park,7.18636757, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,INFO_Reallocation From Dept,3020,
93,Iacono/Readville Playground,City of Boston,A97,3,Hyde Park,4.91446373,159 Readville Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 4,160,
94,Camp Meigs,Commonwealth of Massachusetts,A97/ACEC,3,Hyde Park,2.86609445, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,INFO_Reallocation From Dept,3021,
95,Jeremiah Hurley Memorial Park,City of Boston,A97,1,Hyde Park,0.07297301,0 (Zero) Wolcott Square,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Wolcott Square,BPRD,PARK_Maintenance_Ground Maintenance,166,
96,Stony Brook Recreation Complex,Commonwealth of Massachusetts,A97,3,Hyde Park,27.39580723,Corner Turtle Pond Parkway & River Street,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X,Kelly/Factory Hill (Lawler)/Bajko/Olsen, ,INFO_Reallocation From Dept,3022,
97,Williams Square,City of Boston,A97,1,Hyde Park,0.03806014,Opposite 131 Williams Ave.,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,PARK_Maintenance_Ground Maintenance,321,
98,Dana Avenue Urban Wild I,Commonwealth of Massachusetts,A97,6,Hyde Park,0.77727562, ,Industrial District,Urban Wilds,DCR, ,X,X, , ,INFO_Reallocation From Dept,3023,
99,Mother Brook Reservation,Commonwealth of Massachusetts,A97,2,Hyde Park,30.39329582, ,Residential District,"Parkways, Reservations & Beaches",DCR, ,X,X,Mill Pond Reservation, ,INFO_Reallocation From Dept,3024,
100,Mission Hill Playground,City of Boston,A97/LWCF/PARC/UPARR,3,Mission Hill,2.76091488,60 Smith Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Sheehy-Smith Playground, ,PARK_Maintenance_Region 3,199,
101,Gibbons Playground,City of Boston,A97,3,Mission Hill,0.10489898,10 Sewall Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Delle Avenue Playground, ,PARK_Maintenance_Region 3,133,
102,Mozart Street Playground,City of Boston,A97/LWCF/UPARR,3,Jamaica Plain,0.80633719,28 Mozart Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Holland Plgd, ,PARK_Maintenance_Region 3,209,
103,Beecher Street Play Area,City of Boston,A97,3,Jamaica Plain,0.17425723,105 Paul Gore Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 3,019,
104,Lawrence Farm,Private,AP/Ch61A (Part),6,Jamaica Plain,41.1616755, ,Conservation Protection Subdistrict,Agricultural Preservation,TTOR,Private,X,N,Allandale Farm, ,INFO_Reallocation From Dept,7021,
