School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Lynn - Lynn Vocational Technical Institute,1630605,835,17.0,2.0,2.2,1.8,1.5,2.8,2015-16
Lynnfield - Lynnfield High,1640505,646,1.0,0.2,0.0,0.0,0.0,0.6,2015-16
MATCH Charter Public School (District) - MATCH Charter Public School,4690505,298,2.0,0.7,0.0,1.3,0.0,1.6,2015-16
Ma Academy for Math and Science - Ma Academy for Math and Science School,4680505,98,0.0,0.0,,,0.0,0.0,2015-16
Malden - Malden High,1650505,"1,822",47.0,2.6,2.4,3.6,1.7,2.6,2015-16
Manchester Essex Regional - Manchester Essex Regional High School,6980510,432,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Mansfield - Mansfield High,1670505,"1,320",1.0,0.1,0.0,0.0,0.0,0.3,2015-16
Marblehead - Marblehead High,1680505,"1,057",4.0,0.4,0.0,0.0,0.4,1.1,2015-16
Marlborough - Marlborough High,1700505,"1,076",24.0,2.2,1.4,2.4,1.6,3.7,2015-16
Marshfield - Marshfield High,1710505,"1,341",5.0,0.4,0.3,0.0,0.3,1.0,2015-16
Martha's Vineyard - Martha's Vineyard Regional High,7000505,651,8.0,1.2,0.7,1.2,1.7,1.3,2015-16
Martha's Vineyard Charter (District) - Marthas Vineyard Charter School,4660550,46,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Masconomet - Masconomet Regional High School,7050505,"1,272",2.0,0.2,0.3,0.0,0.3,0.0,2015-16
Mashpee - Mashpee High,1720505,422,5.0,1.2,0.0,1.9,2.8,0.0,2015-16
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District - Massachusetts Virtual Academy at Greenfield Commonwealth Virtual School,39010900,178,51.0,28.7,25.0,32.5,28.9,31.3,2015-16
Maynard - Maynard High,1740505,368,4.0,1.1,0.0,1.0,1.2,2.2,2015-16
Medfield - Medfield Senior High,1750505,866,2.0,0.2,0.0,0.0,0.5,0.4,2015-16
Medford - Curtis-Tufts,1760510,13,2.0,15.4,,,,,2015-16
Medford - Medford High,1760505,"1,133",16.0,1.4,2.0,1.3,1.2,1.1,2015-16
Medford - Medford Vocational Technical High,1760605,265,5.0,1.9,1.1,1.7,2.1,2.9,2015-16
Medway - Medway High,1770505,778,3.0,0.4,0.0,0.0,0.0,1.4,2015-16
Melrose - Melrose High,1780505,946,2.0,0.2,0.0,0.0,0.0,0.9,2015-16
Mendon-Upton - Nipmuc Regional High,7100510,610,2.0,0.3,0.0,0.0,0.7,0.6,2015-16
Methuen - Methuen High,1810505,"1,876",35.0,1.9,0.8,2.8,2.8,1.1,2015-16
Middleborough - Middleborough High,1820505,772,5.0,0.6,1.0,0.6,0.5,0.5,2015-16
Milford - Milford High,1850505,"1,073",25.0,2.3,0.8,3.0,3.3,2.1,2015-16
Millbury - Millbury Junior/Senior High,1860505,426,4.0,0.9,1.8,0.9,0.9,0.0,2015-16
Millis - Millis High School,1870505,382,3.0,0.8,0.0,0.9,0.0,2.1,2015-16
Milton - Milton High,1890505,985,3.0,0.3,0.0,0.8,0.0,0.4,2015-16
Minuteman Regional Vocational Technical - Minuteman Regional High,8300605,624,6.0,1.0,0.0,0.6,1.6,1.3,2015-16
Mohawk Trail - Mohawk Trail Regional High,7170505,283,7.0,2.5,0.0,2.9,3.4,3.7,2015-16
Monomoy Regional School District - Monomoy Regional High School,7120515,468,9.0,1.9,0.0,3.4,3.5,0.9,2015-16
Monson - Monson Innovation High School,1910505,316,5.0,1.6,1.4,2.8,1.2,1.1,2015-16
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,8320605,"1,436",3.0,0.2,0.0,0.0,0.0,0.9,2015-16
Mount Greylock - Mt Greylock Regional High,7150505,343,2.0,0.6,0.0,1.2,1.1,0.0,2015-16
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,4700105,389,1.0,0.3,0.0,0.0,0.0,1.0,2015-16
Nantucket - Nantucket High,1970505,511,7.0,1.4,0.0,1.4,3.6,0.9,2015-16
Narragansett - Narragansett Regional High,7200505,378,7.0,1.9,1.9,2.0,1.2,2.2,2015-16
Nashoba - Nashoba Regional,7250505,"1,052",5.0,0.5,1.2,0.4,0.4,0.0,2015-16
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,8520605,731,1.0,0.1,0.0,0.0,0.0,0.6,2015-16
Natick - Natick High,1980505,"1,513",3.0,0.2,0.0,0.3,0.3,0.3,2015-16
Nauset - Nauset Regional High,6600505,960,5.0,0.5,0.4,0.5,0.4,0.8,2015-16
Needham - Needham High,1990505,"1,663",2.0,0.1,0.0,0.0,0.0,0.5,2015-16
New Bedford - New Bedford High,2010505,"2,066",91.0,4.4,4.2,7.1,4.3,2.2,2015-16
New Bedford - Trinity Day Academy,2010510,52,15.0,28.8,22.2,40.0,12.5,,2015-16
New Bedford - Whaling City Junior/Senior High School,2010515,76,38.0,50.0,44.8,53.8,37.5,,2015-16
New Liberty Charter School of Salem (District) - New Liberty Charter School of Salem,4670505,53,33.0,62.3,,,,51.6,2015-16
Newburyport - Newburyport High,2040505,776,6.0,0.8,0.0,0.5,0.9,1.7,2015-16
Newton - Newton North High,2070505,"2,057",4.0,0.2,0.2,0.2,0.0,0.4,2015-16
